repair,model,iteration,nmut,mutation,ADQbefore,ADQafter,deltaED,EDbefore,EDafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,description
RANDOM,REGISTER,30,1,AndToAlt,0.951171875,0.970703125,2.0,4.0,2.0,0.0,2.0,0.951171875,0.970703125,AndToAlt Protocol from AND TO ALT
RANDOM,REGISTER,30,2,OrToAlt,0.970703125,0.98046875,1.0,2.0,1.0,2.0,3.0,0.970703125,0.98046875,OrToAlt Currency from OR TO ALTERNATIVE
RANDOM,REGISTER,31,1,OrToAnd,0.7958984375,0.9296875,1.0,9.0,8.0,0.0,1.0,0.7958984375,0.9482421875,OrToAnd Register from OR TO AND
RANDOM,REGISTER,31,2,AndToAlt,0.9296875,0.9609375,3.0,8.0,5.0,1.0,4.0,0.9482421875,0.9609375,AndToAlt Protocol from AND TO ALT
RANDOM,REGISTER,32,1,AndToAlt,1.0,0.984375,3.0,0.0,3.0,0.0,3.0,1.0,0.9921875,AndToAlt CardReader from AND TO ALT
RANDOM,REGISTER,32,2,AltToAndOpt,0.984375,1.0,3.0,3.0,0.0,3.0,0.0,0.9921875,1.0,AltToAndOpt CardReader from ALT TO AND to OPT
RANDOM,REGISTER,33,1,AndToAlt,0.861328125,0.919921875,3.0,11.0,8.0,0.0,3.0,0.861328125,0.9501953125,AndToAlt Protocol from AND TO ALT
RANDOM,REGISTER,33,2,AndToAlt,0.919921875,0.955078125,3.0,8.0,5.0,3.0,6.0,0.9501953125,0.955078125,AndToAlt Currency from AND TO ALT
RANDOM,REGISTER,34,1,OrToAnd,0.8544921875,0.9453125,1.0,8.0,7.0,0.0,1.0,0.8544921875,0.9501953125,OrToAnd Register from OR TO AND
RANDOM,REGISTER,34,2,AndToAlt,0.9453125,0.9609375,3.0,7.0,4.0,1.0,4.0,0.9501953125,0.9609375,AndToAlt Currency from AND TO ALT
RANDOM,REGISTER,35,1,AltToAnd,0.9501953125,0.9609375,1.0,6.0,5.0,0.0,1.0,0.9501953125,0.9609375,AltToAnd Register from ALT TO AND
RANDOM,REGISTER,35,2,AndToAlt,0.9609375,0.9765625,3.0,5.0,2.0,1.0,4.0,0.9609375,0.9765625,AndToAlt Protocol from AND TO ALT
RANDOM,REGISTER,36,1,OrToAnd,0.7958984375,0.9296875,1.0,9.0,8.0,0.0,1.0,0.7958984375,0.9482421875,OrToAnd Register from OR TO AND
