id,repair,model,iteration,numSeededMutations,ADQbefore,ADQafter,ED,EDCheatbefore,EDCheatafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,mutations,time,avg,max,repaired
146,TRUNCATION_5PERCENT,EXAMPLE,45,-1,0.75,1.0,7.0,7.0,0.0,0.0,7.0,2.0,1.5,2,89,0.88125,1.0,1
147,TRUNCATION_5PERCENT,EXAMPLE,46,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,60,0.7875,1.0,1
148,TRUNCATION_5PERCENT,EXAMPLE,47,-1,0.75,1.0,7.0,7.0,0.0,0.0,7.0,2.0,1.5,2,91,0.8375,1.0,1
149,TRUNCATION_5PERCENT,EXAMPLE,48,-1,0.875,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,1,60,0.84375,1.0,1
150,TRUNCATION_5PERCENT,EXAMPLE,49,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,30,1.0,1.0,1
151,TRUNCATION_5PERCENT,EXAMPLE,50,-1,0.625,0.75,4.0,9.0,6.0,0.0,4.0,2.0,1.5,6,211,0.7,0.75,0
152,TRUNCATION_5PERCENT,EXAMPLE,51,-1,0.75,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,2,92,0.8625,1.0,1
153,TRUNCATION_5PERCENT,EXAMPLE,52,-1,0.5,0.875,4.0,8.0,7.0,0.0,4.0,2.0,1.5,6,211,0.70625,0.875,0
154,TRUNCATION_5PERCENT,EXAMPLE,53,-1,0.375,0.875,4.0,9.0,6.0,0.0,4.0,4.0,3.0,6,211,0.50625,0.875,0
155,TRUNCATION_5PERCENT,EXAMPLE,54,-1,0.625,0.625,3.0,8.0,5.0,0.0,3.0,1.3333333333333333,1.0,6,210,0.625,0.625,0
156,TRUNCATION_5PERCENT,EXAMPLE,55,-1,0.875,0.75,3.0,8.0,5.0,0.0,3.0,2.0,1.5,5,183,0.69375,0.75,0
157,TRUNCATION_5PERCENT,EXAMPLE,56,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,58,0.85,1.0,1
158,TRUNCATION_5PERCENT,EXAMPLE,57,-1,0.5,0.75,5.0,8.0,4.0,0.0,5.0,2.0,1.5,10,341,0.70625,0.75,0
159,TRUNCATION_5PERCENT,EXAMPLE,58,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,30,1.0,1.0,1
160,TRUNCATION_5PERCENT,EXAMPLE,59,-1,0.875,1.0,6.0,6.0,0.0,0.0,6.0,2.0,1.5,1,60,0.8875,1.0,1
161,TRUNCATION_5PERCENT,EXAMPLE,60,-1,0.875,0.75,4.0,8.0,6.0,0.0,4.0,1.3333333333333333,1.0,5,182,0.75,0.75,0
162,TRUNCATION_5PERCENT,EXAMPLE,61,-1,0.75,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,2,93,0.74375,1.0,1
163,TRUNCATION_5PERCENT,EXAMPLE,62,-1,0.75,1.0,6.0,6.0,0.0,0.0,6.0,2.0,1.5,2,94,0.8375,1.0,1
164,TRUNCATION_5PERCENT,EXAMPLE,63,-1,0.625,0.75,4.0,9.0,5.0,0.0,4.0,1.3333333333333333,1.0,7,246,0.75,0.75,0
